created_at;favorite_count;full_text;quote_count;reply_count;retweet_count;author;day;month;reply_dummy
Mon Mar 01 20:40:44 +0000 2021;799;"""Los pobres no son el problema sino la solución, ellos son el motor del crecimiento, solo tenemos que destrabar"". - @HDeSotoPeru 

#DeSotoSabe #DeSotoPresidente #AvanzaPaís 🚈 https://t.co/3SaFKSSN57";9;22;156;HDS;01;3;0
Mon Mar 01 17:34:52 +0000 2021;46;https://t.co/v0vskp56Vc;0;0;12;HDS;01;3;1
Mon Mar 01 16:35:21 +0000 2021;360;"Conferencia de Prensa ""Estrategia para ganar la paz y el desarrollo"".

#deSotoSabe #deSotoPresidente 🚈🚈🚈 https://t.co/KRydMlHYam";4;15;80;HDS;01;3;0
Mon Mar 01 02:31:36 +0000 2021;224;"🔴 En vivo en Cuarto Poder

#DeSotoSabe #DeSotoPresidente 🚈
#CuartoPoder

https://t.co/8afkwV72bm";1;16;22;HDS;01;3;0
Sun Feb 28 22:17:16 +0000 2021;652;"¡Amigos queridos! 
Esta noche 28/02 estaré en un reportaje en Cuarto Poder por América. 
#deSotoSabe #deSotoPresidente #AvanzaPaís 🚈🚈🚈 https://t.co/t5cL4ab3uo";6;46;115;HDS;28;2;0
Sun Feb 28 16:38:41 +0000 2021;534;"""Deje que los Peruanos importen las vacunas"". - @HDeSotoPeru 

#DeSotoSabe #DeSotoPresidente 🚈 https://t.co/dEYJ0eZ681";5;28;139;HDS;28;2;0
Sun Feb 28 15:41:17 +0000 2021;405;"""Con la ayuda de las FF.AA. vacunaremos a todo el país"". - @HDeSotoPeru https://t.co/6niKbAczMH";4;16;87;HDS;28;2;0
Sun Feb 28 01:32:49 +0000 2021;219;"Sigue mi entrevista con Andrés Hurtado en el siguiente enlace:

https://t.co/NMMNLAfW0e

#HernandoPresidente #DeSotoSabe 🚈";2;12;40;HDS;28;2;0
Sat Feb 27 19:19:27 +0000 2021;877;"""No ha fracasado el modelo económico, ha fracasado el tipo de Estado que tenemos, por eso Hernando de Soto está en Guerra, por nuestra vida y por nuestra libertad"". - @eudmed 

#DeSotoSabe #DeSotoPresidente 🚈 https://t.co/CVscTefyBJ";26;61;202;HDS;27;2;0
Fri Feb 26 23:45:30 +0000 2021;542;"""No tendría problema con hacer alianza con ningún otro candidato...""

- Hernando de Soto 

#deSotoPresidente 🚈 #DeSotoSabe #GobiernodeGuerra https://t.co/fmixooPx95";8;67;88;HDS;26;2;0
Fri Feb 26 23:32:44 +0000 2021;176;"""Hernando de Soto es el mejor candidato, Hernando sí sabe"". 
@diegoucedagg
Candidato por #Lima con el Nro 12

 #deSotoPresidente 🚈 #DeSotoSabe #GobiernodeGuerra https://t.co/6plmrpZniG";1;8;43;HDS;26;2;0
Fri Feb 26 21:51:49 +0000 2021;359;"“Somos un equipo serio, con propuestas serias, les pedimos votos serios”.

- Hernando de Soto     

#DeSotoSabe #DeSotoPresidente 🚈 https://t.co/4G3BaO9cbb";3;17;70;HDS;26;2;0
Fri Feb 26 20:14:09 +0000 2021;327;"Hoy estaré en Canal N con @MavilaHuertasC

#DeSotoSabe #DeSotoPresidente 🚈 https://t.co/5egmCfLbns";6;20;61;HDS;26;2;0
Fri Feb 26 16:13:08 +0000 2021;459;"“El enfrentamiento agudiza la crisis de la economía y agrava la pandemia. Si no cerramos esa brecha, el Perú irá desunido, irá cuesta abajo. Nosotros vamos a integrar al Perú”. - @HDeSotoPeru 

https://t.co/f2UdOUkQPq";4;17;93;HDS;26;2;0
Fri Feb 26 15:30:03 +0000 2021;1250;"Con los inmigrantes no tenemos la obligación de llevarnos la pobreza de sus países, eso es responsabilidad de sus gobiernos y si no les gusta su gobierno que los cambien ellos, no lo haremos nosotros.
- Hernando de Soto

 #DeSotoSabe #DeSotoPresidente 🚝 https://t.co/hhp3GlQ58L";246;232;243;HDS;26;2;0
Fri Feb 26 12:46:18 +0000 2021;407;"Frente a la insanía terrorista!
Mi compromiso con el Perú, honor a la memoria de las víctimas del Terrorismo. 
Mi gratitud por tan gentil reconocimiento.
#VictimasDelTerrorismo https://t.co/g7MvSTgGcF";7;19;86;HDS;26;2;0
Fri Feb 26 12:37:31 +0000 2021;701;"EnTarata, rindiendo Honor a las Víctimas del Terrorismo. ""Mártires de la Libertad y Democracia""
En memoria a las fuerzas del Orden, Civiles y Militares. #TerrorismoNuncaMas https://t.co/fas0lv5bZ5";11;29;126;HDS;26;2;0
Fri Feb 26 02:12:44 +0000 2021;438;"Hernando de Soto rendirá homenaje a victimas del terrorismo en la calle Tarata.

#DeSotoSabe #DeSotoPresidente 🚈 https://t.co/LaPRsqPskW";5;23;84;HDS;26;2;0
Fri Feb 26 01:00:41 +0000 2021;399;"“Quiero modernizar la gestión pública para que el emprendedor urbano y rural, fuertemente golpeado por la pandemia, puedan acceder en igualdad de condiciones, a competir en un mercado generalmente monopolizado por los grandes grupos de poder económico”. 

#DeSotoSabe 🚝 https://t.co/SJFEvth2nZ";4;17;77;HDS;26;2;0
Thu Feb 25 21:47:21 +0000 2021;243;"¨El estado ha fracaso en garantizar la vida de los Peruanos¨. - @1DianaGonzales   

#DeSotoPresidente 🚈 #DeSotoSabe #GobiernoDeGuerra https://t.co/91KJecMPsB";4;11;61;HDS;25;2;0
Thu Feb 25 19:56:44 +0000 2021;403;"""Estamos hablando del derecho de todos, a través de organizaciones supervisadas por el Estado de tener alternativas frente a la vida”. 
- Hernando De Soto 

#HernandodeSoto #deSotoSabe #HernandoPresidente #avanzapais 🚝 https://t.co/DEwszchf3v";6;23;104;HDS;25;2;0
Thu Feb 25 01:05:20 +0000 2021;297;"🔴 Puedes ver mi entrevista de #LaEncerrona en el siguiente link:

https://t.co/NVv4cMdu6P

#HernandoPresidente #SéCómoHacerlo 🚈";9;22;60;HDS;25;2;0
Wed Feb 24 23:39:55 +0000 2021;713;"""Los peruanos necesitamos salir a trabajar, necesitamos salir adelante. Estamos en guerra por nuestra libertad y nuestras vidas"". - @adrianatudelag 

#DeSotoSabe #DeSotoPresidente 🚈 https://t.co/MEyyDIlfJS";10;29;175;HDS;24;2;0
Wed Feb 24 17:37:05 +0000 2021;170;"🔴 Puedes ver nuestra conferencia de prensa en vivo:

https://t.co/RVrRv8iKRc";5;13;46;HDS;24;2;0
Wed Feb 24 16:23:52 +0000 2021;538;"CONFERENCIA DE PRENSA

Hernando De Soto presenta Gabinete de Oposición.

#DeSotoSabe #DeSotoPresidente 🚈 https://t.co/PDLxXOGoxc";9;30;126;HDS;24;2;0
Wed Feb 24 13:33:37 +0000 2021;665;"“El Perú es el único país en los últimos 30 años que derrotó al terrorismo, y se hizo, en gran parte, por los esfuerzos de los generales que me acompañan hoy y sus equipos. No habrá ninguna cabida al terrorismo”. - @HDeSotoPeru 

#DeSotoSabe #DeSotoPresidente 🚈 https://t.co/YJhCW6ZkUm";13;29;156;HDS;24;2;0
Wed Feb 24 01:38:42 +0000 2021;471;"""Las soluciones deben ser escuchadas de abajo hacia arriba, en el Gobierno de Vizcarra no hubo referéndum"". - @HDeSotoPeru 

#HernandoPresidente #DeSotoSabe 🚄 #SéCómoHacerlo https://t.co/jFNhx3NYus";8;14;119;HDS;24;2;0
Tue Feb 23 21:15:24 +0000 2021;998;"¡Queridos amigos! 
Estos son los cuatro ejes de mi plan de gobierno.

#HernandoPresidente #DeSotoSabe #AvanzaPais  🚈 🇵🇪 https://t.co/GmLNWDjNIn";13;51;276;HDS;23;2;0
Tue Feb 23 16:03:29 +0000 2021;379;"""Vizcarra decidió quién vive y quién muere"". - @HDeSotoPeru 

Mira el video: https://t.co/6IdXKbAgUG

#DeSotoSabe #DeSotoPresidente 🚈";7;10;117;HDS;23;2;0
Mon Feb 22 21:58:09 +0000 2021;717;"¡Queridos amigos! Les comparto mi cuenta de YouTube, donde pueden encontrar mis entrevistas y reportajes.

Ingresa al siguiente link:
https://t.co/llnqJLXRTJ

#DeSotoSabe #DeSotoPresidente https://t.co/FqQvKtGWYx";9;30;169;HDS;22;2;0
Mon Feb 22 17:37:08 +0000 2021;173;"@AlejandroCavero, nuestro candidato al Congreso con el Nro 14 por Lima, nos cuenta las 5 razones por las que debemos votar por Hernando de Soto y Avanza País.
 
#HernandoPresidente 🚄 #SéCómoHacerlo https://t.co/U6n4zjGeck";5;7;35;HDS;22;2;1
Mon Feb 22 00:28:24 +0000 2021;586;Queridos amigos, hoy estaré en Latina con Christian Hudtwalcker en #sinmediastintas a las 10 PM. #DeSotoPresidente #DeSotoSabe #AvanzaPaís https://t.co/ev3yeWbkso;12;79;87;HDS;22;2;0
Sun Feb 21 19:22:00 +0000 2021;788;"“El Perú necesita un shock de inversión y trabajo”. - @HDeSotoPeru 

#DeSotoSabe #DeSotoPresidente 🚈

https://t.co/HjHQGArS4g";13;34;159;HDS;21;2;0
Sun Feb 21 04:54:01 +0000 2021;404;"¡Queridos amigos! Les quiero compartir esta parodia que hicimos junto a Carlos Alvarez y que hace unos minutos se ha trasmitido en Willax Televisión, querido Carlos, ha sido agradable recibirte en mi casa.

https://t.co/MnH0Cujj79

#HernandoPresidente #SéCómoHacerlo 🚈";4;19;65;HDS;21;2;0
